frame_idx,timestamp,stability_index,com_x,com_y,com_z,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_left_shoulder,angle_right_shoulder,angle_left_elbow,angle_right_elbow,angle_spine,angle_neck,load_left_knee,load_right_knee,load_left_hip,load_right_hip,load_spine,load_left_ankle,load_right_ankle
0,0.0000,0.5000,0.0000,-0.0364,-3.1873,,,180.0000,180.0000,75.6600,126.3300,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
1,0.0330,0.5000,0.0000,-0.1184,-3.0300,,,180.0000,180.0000,111.1300,139.5900,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
2,0.0670,0.5000,0.0000,0.0882,-2.8609,,,180.0000,180.0000,18.8900,96.3700,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
3,0.1000,0.5000,0.0000,-0.0580,-2.7974,,,180.0000,180.0000,102.7400,109.1800,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
4,0.1330,0.5000,0.0000,0.0869,-2.8531,,,180.0000,180.0000,95.4600,23.3500,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
5,0.1670,0.5000,0.0000,0.1013,-2.8149,,,180.0000,180.0000,59.4800,63.1400,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
6,0.2000,0.5000,0.0000,0.0272,-2.8219,,,180.0000,180.0000,112.7700,49.8900,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
7,0.2330,0.5000,0.0000,0.0753,-2.8424,,,180.0000,180.0000,98.6400,30.3200,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
8,0.2670,0.5000,0.0000,0.0921,-2.8224,,,180.0000,180.0000,81.1700,43.9900,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
9,0.3000,0.5000,0.0000,-0.0437,-2.9935,,,180.0000,180.0000,93.6700,110.5000,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
10,0.3330,0.5000,0.0000,0.0553,-2.7970,,,180.0000,180.0000,70.0600,79.4700,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
11,0.3670,0.5000,0.0000,-0.0374,-2.9934,,,180.0000,180.0000,90.3200,110.4300,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
12,0.4000,0.5000,0.0000,-0.0454,-2.7940,,,180.0000,180.0000,100.1400,104.7200,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
13,0.4330,0.5000,0.0000,0.0851,-2.8964,,,180.0000,180.0000,101.1800,0.0000,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
14,0.4670,0.5000,0.0000,0.0311,-2.7981,,,180.0000,180.0000,95.8800,66.6300,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
15,0.5000,0.5000,0.0000,0.0776,-3.0111,,,180.0000,180.0000,60.0200,76.3700,,,180.0000,180.0000,,,1172.4000,1172.4000,,,,1294.9000,1294.9000
