frame_idx,timestamp,fps,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,spine_angle,left_hip_angle,right_hip_angle,left_ankle_angle,right_ankle_angle,left_elbow_velocity,right_elbow_velocity,left_knee_velocity,right_knee_velocity,spine_velocity,left_hip_velocity,right_hip_velocity,left_ankle_velocity,right_ankle_velocity,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,left_wrist_x,left_wrist_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,right_wrist_x,right_wrist_y,neck_x,neck_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y,left_ankle_x,left_ankle_y,right_hip_x,right_hip_y,right_knee_x,right_knee_y,right_ankle_x,right_ankle_y
0,0.0,60.0,168.47,,169.3,,,168.27,168.11,169.3,,,,,,,,,,,0.5777,0.3462,0.6068,0.2412,0.6154,0.1175,,,,,,,0.5359,0.3467,0.5309,0.6011,0.5603,0.6036,0.5839,0.7752,0.5776,0.9007,0.5015,0.5986,,,,
1,0.016666666666666666,60.0,169.33,,168.61,,,167.61,168.06,168.61,,51.6,,41.4,,,39.6,3.0,41.4,,0.5762,0.3468,0.605,0.2357,0.6131,0.1168,,,,,,,0.5351,0.3472,0.5299,0.6055,0.5591,0.6086,0.5851,0.7792,0.5793,0.9007,0.5008,0.6024,,,,
2,0.03333333333333333,60.0,169.36,,168.62,,,167.57,168.02,168.62,,1.8,,0.6,,,2.4,2.4,0.6,,0.5763,0.3467,0.605,0.2353,0.6129,0.1164,,,,,,,0.5352,0.3472,0.53,0.6054,0.5591,0.6085,0.5851,0.7788,0.5794,0.9006,0.5008,0.6022,,,,
3,0.05,60.0,168.59,,168.5,,,167.41,168.06,168.5,,46.2,,7.2,,,9.6,2.4,7.2,,0.576,0.35,0.6044,0.2382,0.6103,0.1187,,,,,,,0.5349,0.3501,0.5298,0.6074,0.559,0.6101,0.5854,0.7791,0.5798,0.9013,0.5005,0.6046,,,,
4,0.06666666666666667,60.0,168.38,,168.47,,,167.51,168.04,168.47,,12.6,,1.8,,,6.0,1.2,1.8,,0.5756,0.3506,0.6042,0.2392,0.6099,0.1201,,,,,,,0.5345,0.3507,0.5297,0.6075,0.559,0.6102,0.5853,0.7793,0.5795,0.9016,0.5004,0.6048,,,,
5,0.08333333333333333,60.0,169.42,,168.18,,,167.96,167.72,168.18,,62.4,,17.4,,,27.0,19.2,17.4,,0.5749,0.3481,0.6039,0.242,0.614,0.1195,,,,,,,0.533,0.3487,0.5298,0.605,0.5591,0.6073,0.585,0.7793,0.5782,0.9001,0.5005,0.6027,,,,
6,0.1,60.0,169.03,,168.08,,,167.93,167.92,168.08,,23.4,,6.0,,,1.8,12.0,6.0,,0.5749,0.348,0.6041,0.2426,0.6138,0.1192,,,,,,,0.533,0.3484,0.5297,0.6055,0.5591,0.6078,0.585,0.7794,0.5778,0.9029,0.5004,0.6032,,,,
7,0.11666666666666667,60.0,169.1,,168.31,,,167.99,167.92,168.31,,4.2,,13.8,,,3.6,0.0,13.8,,0.5748,0.3481,0.604,0.2425,0.6138,0.1197,,,,,,,0.533,0.3484,0.5299,0.6053,0.5592,0.6076,0.5849,0.7784,0.5781,0.9022,0.5006,0.603,,,,
8,0.13333333333333333,60.0,168.97,,168.33,,,168.01,167.92,168.33,,7.8,,1.2,,,1.2,0.0,1.2,,0.5748,0.3483,0.604,0.243,0.6137,0.1197,,,,,,,0.533,0.3485,0.5298,0.6054,0.5592,0.6077,0.5849,0.7787,0.5781,0.9025,0.5005,0.6031,,,,
9,0.15,60.0,170.59,,167.32,,,167.64,167.96,167.32,,97.2,,60.6,,,22.2,2.4,60.6,,0.5748,0.349,0.6027,0.2412,0.6133,0.1213,,,,,,,0.5326,0.3495,0.5294,0.6044,0.5587,0.6067,0.5856,0.7806,0.5772,0.9029,0.5,0.6021,,,,
10,0.16666666666666666,60.0,170.54,,167.23,,,167.61,167.88,167.23,,3.0,,5.4,,,1.8,4.8,5.4,,0.5748,0.3489,0.6027,0.2412,0.6133,0.1214,,,,,,,0.5326,0.3494,0.5294,0.6044,0.5588,0.6067,0.5857,0.7804,0.5773,0.9029,0.5001,0.6021,,,,
11,0.18333333333333332,60.0,170.68,,166.82,,,166.73,168.14,166.82,,8.4,,24.6,,,52.8,15.6,24.6,,0.5743,0.3507,0.602,0.2428,0.6126,0.1234,,,,,,,0.532,0.3513,0.5281,0.6065,0.5572,0.6095,0.5853,0.7779,0.5773,0.9029,0.4991,0.6035,,,,
12,0.2,60.0,170.69,,166.82,,,166.66,168.19,166.82,,0.6,,0.0,,,4.2,3.0,0.0,,0.5744,0.3506,0.602,0.2424,0.6124,0.1236,,,,,,,0.532,0.3513,0.5281,0.6063,0.5572,0.6093,0.5855,0.7781,0.5777,0.9019,0.499,0.6034,,,,
13,0.21666666666666667,60.0,169.78,,166.78,,,166.89,168.23,166.78,,54.6,,2.4,,,13.8,2.4,2.4,,0.5744,0.3521,0.6026,0.2442,0.6119,0.1236,,,,,,,0.5322,0.3522,0.5282,0.6067,0.5574,0.6092,0.5852,0.7787,0.5769,0.9018,0.4989,0.6042,,,,
14,0.23333333333333334,60.0,170.0,,166.89,,,166.87,168.28,166.89,,13.2,,6.6,,,1.2,3.0,6.6,,0.5744,0.352,0.6026,0.244,0.6124,0.1229,,,,,,,0.5323,0.3521,0.5281,0.6068,0.5574,0.6094,0.5852,0.7787,0.5771,0.902,0.4989,0.6043,,,,
